ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,EXP_COR,EXP_SPO,EXP_BN,EXP_QUIT,EXP_SEN,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0,0,0,0,0.76692307,1.0126923,0.90076923,0.15,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,Hadoop Common
0.017563956,0.021382207,0.045819015,0.239022528,0.778850338,1.13433825,1.133261619,0.594857847,0.711340206,0.043528064,0.241313478,0.003818251,0.202749141,-0.170933595,0.224683072,4,0,0,0,58.57060599,0,1,1,1,0,Cassandra
0.027442371,0.043907794,0.055982437,0.259055982,0.777341384,1.144747557,1.155441132,0.592275741,0.675082327,0.049396268,0.271130626,0.004390779,0.316136114,-0.167644138,0.223955202,2,0,0,0,20.71727713,0,1,1,1,0,Cassandra
0,0.307692308,0.076923077,0.307692308,1.133718792,1.673094146,1.625826592,0.505496748,0.384615385,0.153846154,0.461538462,0,0.615384615,-0.205092593,0.17720794,0,0,0,0,20.79487179,0,0,0,0,0,Hibernate ORM
0.007680492,0.608294931,0.069124424,0.145929339,0.680068215,1.03612165,1.048937349,0.68410553,0.677419355,0.10906298,0.210445469,0.003072197,0.658986175,-0.150591111,0.220623985,14,1,23,0,86.88073879,1,1,0,1,0,OFBiz
0,0.333333333,0,0.166666667,1.066129858,1.62253935,1.631601828,0.673533333,0.5,0,0.5,0,0.666666667,-0.0125,0.1125,0,0,1,0,3,1,0,0,1,0,Hadoop Common
0,0.25,0,0.25,0.97161361,1.395147475,1.4321023,0.493214288,0.75,0,0.25,0,0.25,-0.28125,0.171875,0,0,0,0,22.5,0,0,0,0,0,Hibernate ORM
0,0,0,0.2,1.17421103,1.6637601,1.7024795,0.45734,0.4,0,0.6,0,0.4,-0.122333333,0.4167,0,0,0,0,24,0,0,0,0,0,Hadoop Common
0,0.272727273,0.145454545,0.272727273,0.781374125,1.127121211,1.136619656,0.638565455,0.727272727,0,0.272727273,0,0.509090909,-0.189077778,0.219672727,0,0,0,0,7.058139535,0,0,0,0,0,Hadoop Map/Reduce
0.05,0.1,0,0.3,0.876848423,1.24452761,1.256775064,0.620110465,0.75,0.05,0.2,0,0.3,-0.140000001,0.184203142,0,0,0,0,1.933333333,0,1,1,1,0,Wicket
0.017857143,0.053571429,0.035714286,0.071428571,0.989917263,1.488888554,1.505273092,0.511352489,0.696428571,0.017857143,0.267857143,0.017857143,0.535714286,-0.16848611,0.211760088,0,0,0,0,1.839285714,0,0,0,0,0,Wicket
0.020527859,0.085043988,0.114369501,0.184750733,0.913519042,1.35072754,1.353015104,0.592124633,0.62170088,0.032258065,0.33431085,0.011730205,0.551319648,-0.126613636,0.245336517,0,0,0,0,46.43569334,0,0,0,0,0,Hive
0.071428571,0.071428571,0.071428571,0.5,0.997108774,1.496038653,1.483822825,0.437892857,0.5,0.142857143,0.357142857,0,0.642857143,-0.09585,0.213955556,0,0,1,0,24.5,0,0,0,0,0,OFBiz
0.023809524,0.119047619,0.119047619,0.357142857,1.079831537,1.573960864,1.57527296,0.454421429,0.619047619,0.119047619,0.261904762,0,0.5,-0.196266667,0.288846667,0,0,0,0,35.35714286,0,0,0,0,0,Camel
0.069767442,0.046511628,0.023255814,0.441860465,1.011275815,1.507758191,1.511273357,0.406223256,0.488372093,0.069767442,0.418604651,0.023255814,0.627906977,-0.08542,0.17753871,0,0,2,0,97.56471694,0,0,0,0,0,OFBiz
0.111111111,0.055555556,0.055555556,0.222222222,1.026313974,1.481536644,1.51473348,0.428175443,0.611111111,0,0.333333333,0.055555556,0.722222222,-0.115836943,0.144535697,0,0,0,0,3.666666667,0,0,0,0,0,Wicket
0,0,0,0,1.102,2.052,1.862,0.75,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,Hadoop Common
0,0,0,0,0.883508573,1.305807079,1.28380905,0.508791208,0.538461538,0.153846154,0.307692308,0,0.307692308,-0.122222223,0.215641026,0,0,0,1,23.07692308,0,0,0,0,0,Hibernate ORM
0,0,0,0.5,1.14820355,1.7392982,1.78662985,0.63335,0,0,1,0,0,-0.04265,0,0,0,0,0,12,0,0,0,0,0,Camel
0,0,0,0,1.08,1.6066667,1.63,0.75,1,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,OFBiz
0,0,0,0,2.165,3.32125,3.2350001,1,1,0,0,0,0,0,0.5929,0,0,1,0,30,0,0,0,0,0,Hadoop Common
0.021413276,0.019271949,0.070663812,0.286937901,1.024785582,1.491462753,1.502381596,0.511269807,0.47751606,0.079229122,0.443254818,0,0.52248394,-0.144912941,0.180307407,0,0,0,0,62.42258773,0,0,0,0,0,HBase
0,0,0.153846154,0.307692308,1.213125641,1.697336108,1.737305446,0.554887218,0.769230769,0,0.230769231,0,0.230769231,-0.15909091,0.128125001,0,0,0,0,1.769230769,0,0,0,0,0,Hibernate ORM
0,0.055555556,0.055555556,0.166666667,0.922199665,1.342980826,1.357417998,0.608272222,0.555555556,0.111111111,0.333333333,0,0.333333333,-0.10415,0.134133333,0,0,3,0,11.25490196,0,0,0,0,0,Hadoop Common
0,0.111111111,0,0.333333333,0.798918908,1.093229117,1.131174256,0.570688889,0.777777778,0,0.222222222,0,0.444444444,-0.211625,0.2794,0,0,0,0,69.33333333,1,0,0,1,0,Hadoop Common
0,1,0,0,1.2091429,2.0231428,1.9768572,0.083333336,1,0,0,0,1,-0.05,0,0,0,0,0,66,0,0,0,0,0,Hibernate ORM
0,1,0.2,0.9,0.883716986,1.283088165,1.29073393,0.59204,0.4,0.2,0.4,0,0.4,-0.125,0.207957143,0,0,0,0,18.6,0,0,0,0,0,OFBiz
0.013157895,0.019736842,0.049342105,0.171052632,1.046415276,1.536335608,1.526634616,0.566271382,0.634868421,0.072368421,0.292763158,0,0.365131579,-0.161786765,0.208812037,0,0,0,0,10.80592105,0,0,0,0,0,Hive
0.011363636,0.011363636,0.068181818,0.227272727,0.945484351,1.413538888,1.402659086,0.451706818,0.5,0.022727273,0.477272727,0,0.579545455,-0.082193333,0.183436,0,0,0,0,34.98122595,0,0,0,0,0,Camel
0.028571429,0.076190476,0.057142857,0.457142857,1.006740284,1.404372571,1.464436642,0.647615442,0.628571429,0.066666667,0.276190476,0.028571429,0.40952381,-0.144371056,0.208578319,0,0,0,0,59.42857143,0,0,0,0,0,Wicket
0,0.04,0.08,0.2,0.958699209,1.449955781,1.453944301,0.577391108,0.6,0.08,0.32,0,0.2,-0.1125,0.197610043,0,0,0,0,5.259130435,0,0,0,0,0,Wicket
0.038297872,0.076595745,0.10212766,0.4,0.907800649,1.347986926,1.323727452,0.598990638,0.591489362,0.034042553,0.357446809,0.017021277,0.510638298,-0.136987179,0.216232203,4,0,4,0,18.74284741,1,1,1,1,0,Hadoop Common
0.01141925,0.106035889,0.044045677,0.174551387,1.018228099,1.461355137,1.464167761,0.711050897,0.794453507,0.042414356,0.158238173,0.004893964,0.406199021,-0.158994444,0.218515451,0,0,0,0,6.508972268,0,1,1,1,0,Harmony
0,0,0,0,0.785929452,1.1700297,1.23119188,0.66666,1,0,0,0,0.2,-0.2719,0.6,0,0,0,0,30.8,0,0,0,0,0,Camel
0.013157895,0.019736842,0.049342105,0.171052632,1.046415276,1.536335608,1.526634616,0.566271382,0.634868421,0.072368421,0.292763158,0,0.365131579,-0.161786765,0.208812037,0,0,0,0,19.45065789,0,0,0,0,0,Hive
0,0,0,0.25,1.191932815,1.678732383,1.70796255,0.350325,0.5,0,0.5,0,0.5,0,0.4108,0,0,0,0,38.25,0,0,0,1,0,OFBiz
0.023809524,0.119047619,0.119047619,0.357142857,1.079831537,1.573960864,1.57527296,0.454421429,0.619047619,0.119047619,0.261904762,0,0.5,-0.196266667,0.288846667,0,0,0,0,42.42857143,0,0,0,0,1,Camel
0.020637899,0.251407129,0.08630394,0.240150094,0.998325413,1.512604074,1.522604138,0.516836961,0.459662289,0.198874296,0.330206379,0.011257036,0.61163227,-0.129070093,0.209266434,1,0,4,0,71.73806134,1,0,0,1,0,OFBiz
0.030230708,0.035003978,0.109785203,0.270485282,1.022417329,1.508829823,1.508757283,0.485883134,0.564041368,0.045346062,0.385043755,0.005568815,0.542561655,-0.158332922,0.213115503,2,0,0,0,38.59867092,0,1,1,1,0,HBase
0.066326531,0.147959184,0.134353741,0.471088435,0.920369242,1.383894796,1.380834711,0.517591327,0.62585034,0.017006803,0.353741497,0.003401361,0.755102041,-0.111247934,0.199158981,0,0,0,0,53.57859171,0,1,1,1,0,Hadoop Map/Reduce
0,0.096774194,0,0.161290323,1.0480409,1.603878351,1.601636734,0.598164516,0.64516129,0.064516129,0.290322581,0,0.451612903,-0.2375,0.24461875,0,0,0,0,11.90053763,0,0,0,0,0,OFBiz
0,1,0,0,1.32525,2.01175,1.91425,1,1,0,0,0,1,0,0.35,0,0,0,0,54,0,0,0,0,0,OFBiz
0.012658228,0.075949367,0.088607595,0.183544304,1.004820675,1.492062941,1.479261012,0.664505696,0.613924051,0.107594937,0.278481013,0,0.626582278,-0.19222069,0.236581333,0,0,0,0,47.92993795,0,0,0,0,0,Hadoop Common
0.033397559,0.191393706,0.074502248,0.293513166,0.795134819,1.182499117,1.173207074,0.634808157,0.707129094,0.039820167,0.249839435,0.003211304,0.453436095,-0.155132389,0.205117921,0,0,8,0,104.4372897,1,0,0,1,0,Hadoop Common
0,0,0,0,1.1585,1.5945001,1.6885,0.75,1,0,0,0,0,0,0.1833,0,0,0,0,54,0,0,0,0,0,OFBiz
0,0,0,0.2,0.8564878,1.270397187,1.29311567,0.52221,0.6,0,0.4,0,0.8,-0.34165,0.190383333,0,0,4,0,91.83333333,0,0,0,0,0,OFBiz
0.042857143,0.142857143,0.157142857,0.085714286,0.875931863,1.294017288,1.27950869,0.652457143,0.757142857,0.071428571,0.171428571,0,0.5,-0.20012,0.267775862,0,0,0,1,5.955882353,0,1,1,1,0,Hadoop Common
0,0.111111111,0.222222222,0.349206349,0.971886604,1.400781133,1.408758913,0.588819048,0.619047619,0.031746032,0.349206349,0,0.603174603,-0.187913333,0.289990323,0,0,0,0,8.920634921,0,0,0,0,0,Hadoop HDFS
0,0,0,1,1.648889,2.202222,2.3572223,0.1875,1,0,0,0,1,0,0.20833333,0,0,0,0,60,0,0,0,0,0,Hibernate ORM
0.040871935,0.059945504,0.049046322,0.247956403,1.033219117,1.54650957,1.558524923,0.458606339,0.602179837,0.073569482,0.316076294,0.008174387,0.498637602,-0.183382319,0.220596016,0,0,0,0,61.81668241,0,1,1,1,0,Wicket
0.008010681,0.122830441,0.050734312,0.29506008,0.910996208,1.342067514,1.348225888,0.503762884,0.563417891,0.054739653,0.372496662,0.009345794,0.460614152,-0.146472581,0.199723913,21,0,24,0,52.89131574,1,0,0,1,0,OFBiz
0.031860226,0.069886948,0.097636177,0.37307297,0.84024821,1.313667447,1.283944437,0.553877698,0.581706064,0.038026721,0.372045221,0.008221994,0.313463515,-0.132645588,0.226021667,6,0,0,0,34.05213654,0,1,1,1,0,Cassandra
0,0,0,0,0.785929452,1.1700297,1.23119188,0.66666,1,0,0,0,0.2,-0.2719,0.6,0,0,0,0,25.2,0,1,1,1,0,Camel
0.05,0.1,0,0.3,0.876848423,1.24452761,1.256775064,0.620110465,0.75,0.05,0.2,0,0.3,-0.140000001,0.184203142,1,0,0,1,25.33333333,0,0,0,0,0,Wicket
0,1,0,0,1.41766155,2.0206923,2.18478465,0.58335,0.5,0,0.5,0,0.5,-0.0357,0,0,0,0,0,25.5,0,0,0,0,0,OFBiz
0.027102804,0.061682243,0.106542056,0.417757009,1.018505926,1.468735194,1.481389349,0.551117664,0.510280374,0.078504673,0.407476636,0.003738318,0.53364486,-0.155264744,0.190490807,2,0,3,0,30.11449955,1,1,1,1,0,Hadoop Common
0.017699115,0.079646018,0.03539823,0.287610619,1.04058268,1.5090952,1.516370007,0.531293304,0.619469027,0.066371681,0.309734513,0.004424779,0.513274336,-0.177713633,0.267333966,0,0,0,0,2.792035398,0,0,0,1,0,Wicket
0,0,0,0,1.136,1.6935556,1.6868889,0.625,0,0,1,0,1,-0.9375,0,0,0,0,0,64,0,0,0,0,0,OFBiz
0.020833333,0.283653846,0.243589744,0.288461538,0.937752892,1.440276826,1.429396582,0.575587179,0.5625,0.043269231,0.389423077,0.004807692,0.666666667,-0.16112967,0.23600905,15,0,0,0,49.4705231,0,1,1,1,0,Camel
0,0,0.066666667,0.066666667,0.472340803,0.690506109,0.670998569,0.757766667,0.8,0,0.2,0,0.2,-0.0326,0.2573,0,0,0,0,12.6,0,0,0,0,0,Hadoop Common
0,0,0,0.2,1.138281041,1.652807295,1.617309984,0.672826667,0.466666667,0.2,0.333333333,0,0.333333333,-0.20415,0.2243875,0,0,0,0,12.46666667,0,0,0,0,0,OFBiz
0,0,0,0.666666667,1.105715833,1.550523067,1.581909233,0.8406,1,0,0,0,1,-0.0133,0.0394,0,0,0,0,46.66666667,1,0,0,1,0,OFBiz
0,0.179487179,0.025641026,0.230769231,1.047023429,1.568931599,1.569219081,0.403323077,0.564102564,0.102564103,0.333333333,0,0.41025641,-0.152428571,0.234014286,0,0,6,0,59.13641972,0,0,0,0,0,Hadoop Common
0,0,0,0.333333333,0.58869075,0.9260399,0.967808833,0.697933333,0.666666667,0,0.333333333,0,0.333333333,0,0.2188,0,0,1,0,35,0,0,0,0,0,OFBiz
0.090909091,0,0.090909091,0.545454545,1.433090861,2.119292709,2.119223245,0.478890909,0.545454545,0,0.454545455,0,0.454545455,-0.2489,0.2025,0,0,1,0,80.33030303,1,0,0,1,0,OFBiz
0,0,0.153846154,0.307692308,1.213125641,1.697336108,1.737305446,0.554887218,0.769230769,0,0.230769231,0,0.230769231,-0.15909091,0.128125001,0,0,0,0,10.61538462,0,0,0,0,0,Hibernate ORM
0.016209476,0.105985037,0.056109726,0.251870324,0.879526591,1.287825771,1.292139865,0.599686908,0.654613466,0.028678304,0.314214464,0.002493766,0.396508728,-0.16897027,0.205918507,4,0,7,0,24.40534771,1,1,1,1,0,Hadoop Common
0,0,0,0.1,0.739776606,1.022259472,1.024823884,0.70042,1,0,0,0,0.3,-0.5,0.12655,0,0,0,1,18.2,0,0,0,0,0,HBase
0,0,0,0.333333333,0.94656772,1.222003667,1.298608067,0.833333333,1,0,0,0,0,0,0.1,0,0,0,0,0,1,0,0,1,0,OFBiz
0,0.04,0.08,0.2,0.958699209,1.449955781,1.453944301,0.577391108,0.6,0.08,0.32,0,0.2,-0.1125,0.197610043,0,0,0,0,29.89913043,0,0,0,0,0,Wicket
0,1,0,0,1.2091429,2.0231428,1.9768572,0.083333336,1,0,0,0,1,-0.05,0,0,0,0,0,51,0,0,0,0,0,Hibernate ORM
0.056561086,0.033936652,0.067873303,0.393665158,0.878018784,1.315180225,1.307718678,0.4806,0.558823529,0.056561086,0.377828054,0.00678733,0.262443439,-0.115225,0.232214403,0,0,0,0,58.37556561,0,0,0,0,0,Cassandra
0,0.125,0,0,0.79616663,1.226604773,1.242053294,0.66765,0.625,0,0.375,0,0.375,-0.2,0.20095,0,0,1,0,77,0,0,0,0,0,OFBiz
0,0,0,0,1.1599611,1.7612451,1.7629182,0.3174,0,0,1,0,1,0,0.0733,0,0,0,0,22,0,0,0,0,0,Hadoop Common
0.007746479,0.254929577,0.100704225,0.187323944,0.884581689,1.34490188,1.340006045,0.584718592,0.595070423,0.057746479,0.344366197,0.002816901,0.498591549,-0.150559884,0.220913733,13,0,14,0,117.9589711,1,1,1,1,0,OFBiz
0,1,0,0,0.80333334,1.0086666,1.1673334,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,Hibernate ORM
0,0,0,0.3,1.218443133,1.66260539,1.6654176,0.45518,0.3,0,0.7,0,0.5,-0.125,0.0936,0,0,2,0,55.55,0,0,0,0,0,OFBiz
